region,region_name,fuel_type,n_plants,total_generation_mwh,mean_rate_lb_per_mwh
1,California,COAL,4,8793545.0,1588.0
1,California,GAS,559,88912696.1,1646.6
1,California,OIL,14,160916.3,1808.6
2,Northwest,COAL,43,63072487.4,1997.3
2,Northwest,GAS,197,45596810.7,1447.7
2,Northwest,OIL,13,443372.0,1987.3
3,Southwest,COAL,18,44335727.0,2340.6
3,Southwest,GAS,261,67001781.1,1035.7
3,Southwest,OIL,4,49431.0,2314.3
4,Rockies,COAL,22,29543672.0,2476.8
4,Rockies,GAS,146,16338938.8,1496.3
4,Rockies,OIL,21,-644.0,2364.5
